overflow,0x61f812e2,0x000012e2,1 (0x1),libCrash.dll,C:\Users\Rob\workspace\ApiFuzzing\junk\libCrash.dll,Exported Function
write,0x61f812b3,0x000012b3,2 (0x2),libCrash.dll,C:\Users\Rob\workspace\ApiFuzzing\junk\libCrash.dll,Exported Function
